"BPM_EC_GCOMMAND_OP";"TABLE";"EC_BPM";"";"";"TABLE";"BPM_EC_GCOMMAND_OP";"";"";
"BPM_EC_GCOMMAND_OP_P";"TABLE";"EC_BPM";"";"";"TABLE";"BPM_EC_GCOMMAND_OP_P";"";"";
"BPM_EC_GCOM_HANDLER_P";"TABLE";"EC_BPM";"";"";"TABLE";"BPM_EC_GCOMMAND_HANDLER_P";"";"";
"BUSINESS_ACTION";"TABLE";"EC_FRMW";"";"";"TABLE";"BUSINESS_ACTION";" ";"";
"BUSINESS_ACTION_JBPM";"TABLE";"EC_FRMW";"";"";"TABLE";"BUSINESS_ACTION";"";"";
"BUSINESS_FUNCTION";"TABLE";"EC_FRMW";"";"";"TABLE";"BUSINESS_FUNCTION";"";"";
"BUSINESS_UNIT";"OBJECT";"EC_TRAN";"VERSIONED";"";"TABLE";"BUSINESS_UNIT";"BUSINESS_UNIT_VERSION";"";
"CALCULATION";"OBJECT";"EC_FRMW";"VERSIONED";"";"TABLE";"CALCULATION";"CALCULATION_VERSION";"";
"CALCULATION_EVENT";"DATA";"EC_FRMW";"";"";"TABLE";"RECORD_EVENT";"";"CLASS_NAME='CALCULATION_EVENT'";
"CALC_ATTRIBUTE_META";"TABLE";"EC_FRMW";"VERSIONED";"";"TABLE";"V_CALC_ATTRIBUTE_META";"";"";
"CALC_COLLECTION_ELEMENT";"INTERFACE";"EC_FRMW";"VERSIONED";"";"";"";"";"";
"CALC_COMPONENT_COLUMN";"TABLE";"EC_FRMW";"EVENT";"";"TABLE";"CALC_COMPONENT_COLUMN";"";"";
"CALC_COMPONENT_ROW";"TABLE";"EC_FRMW";"EVENT";"";"TABLE";"CALC_COMPONENT_ROW";"";"";
"CALC_COMPONENT_TEMPLATE";"TABLE";"EC_FRMW";"EVENT";"";"TABLE";"CALC_COMPONENT_TEMPLATE";"";"";
"CALC_CONTEXT";"OBJECT";"EC_FRMW";"VERSIONED";"";"TABLE";"CALC_CONTEXT";"CALC_CONTEXT_VERSION";"";
"CALC_CONTEXT_JOB_MERGED";"DATA";"EC_PROD";"EVENT";"CALC_CONTEXT";"TABLE";"V_CALC_CONTEXT_JOB_MERGED";"";"";
"CALC_CONTEXT_PARAMETER";"DATA";"EC_FRMW";"NONE";"CALC_CONTEXT";"VIEW";"V_CALC_CONTEXT_PARAMETER";"";"";
