"CALC_CONTEXT";"CALC_VAR_ALL";"CALC_CONTEXT";"EC_FRMW";"N";"N";"";"1:N";"COLUMN";"CALC_CONTEXT_ID";
"CALC_CONTEXT";"CALC_VARIABLE_LOCAL";"CALC_CONTEXT";"EC_FRMW";"N";"N";"";"1:N";"COLUMN";"CALC_CONTEXT_ID";
"CALC_CONTEXT";"CALC_VAR_INHERITED";"CALC_CONTEXT";"EC_FRMW";"N";"N";"";"1:N";"COLUMN";"CALC_CONTEXT_ID";
"CALC_CONTEXT";"CONFIG_VARIABLE";"CALC_CONTEXT";"EC_REVN";"N";"N";"";"1:N";"ATTRIBUTE";"CALC_CONTEXT_ID";
"CALC_LIBRARY";"CALCULATION";"CALC_LIBRARY";"EC_FRMW";"N";"N";"";"1:N";"COLUMN";"CALC_LIBRARY_ID";
"CALC_PROCESS_ELEMENT";"CALC_PROCESS_TRANSITION";"FROM_ELEMENT";"EC_FRMW";"N";"N";"";"1:N";"ATTRIBUTE";"FROM_ELEMENT_ID";
"CALC_PROCESS_ELEMENT";"CALC_PROCESS_TRANSITION";"TO_ELEMENT";"EC_FRMW";"N";"N";"";"1:N";"ATTRIBUTE";"TO_ELEMENT_ID";
"CALCULATION";"CALC_PROC_ELM_ITERATION";"CALCULATION";"EC_FRMW";"N";"N";"";"1:N";"COLUMN";"CALCULATION_ID";
"CALCULATION";"CALC_PROCESS_ELEMENT";"CALCULATION";"EC_FRMW";"N";"N";"";"1:N";"COLUMN";"CALCULATION_ID";
"CALCULATION";"CALC_PROCESS_ELEMENT";"IMPLEMENTING_CALC";"EC_FRMW";"N";"N";"";"1:N";"ATTRIBUTE";"IMPLEMENTING_CALC_ID";
"CALCULATION";"CALC_PROCESS_TRANSITION";"CALCULATION";"EC_FRMW";"N";"N";"";"1:N";"COLUMN";"CALCULATION_ID";
"CALCULATION";"CALCULATION";"IMPL_CALCULATION";"EC_FRMW";"N";"N";"";"1:N";"ATTRIBUTE";"IMPL_CALCULATION_ID";
"CALCULATION";"CALCULATION";"MAIN_CALCULATION";"EC_FRMW";"N";"N";"";"1:N";"ATTRIBUTE";"MAIN_CALCULATION_ID";
"CALCULATION";"CONTRACT";"SA_DAY_CALC";"EC_SALE";"N";"N";"";"1:1";"ATTRIBUTE";"SA_DAY_CALC_ID";
"CALCULATION";"CONTRACT";"SA_MTH_CALC";"EC_SALE";"N";"N";"";"1:1";"ATTRIBUTE";"SA_MTH_CALC_ID";
"CALCULATION";"CONTRACT";"SA_YR_CALC";"EC_SALE";"N";"N";"";"1:1";"ATTRIBUTE";"SA_YR_CALC_ID";
"CALCULATION";"LIFTING_ACCOUNT";"BLMR_CALCULATION";"EC_TRAN";"N";"N";"";"1:1";"ATTRIBUTE";"BLMR_CALCULATION_ID";
"CALCULATION";"LINE_ITEM_TEMPLATE";"CALCULATION";"EC_REVN";"N";"N";"";"1:N";"ATTRIBUTE";"CALCULATION_ID";
"CALCULATION";"METER";"CALCULATION";"EC_TRAN";"N";"N";"";"1:1";"ATTRIBUTE";"CALCULATION_ID";
"CALCULATION";"PAYMENT_TERM";"CALCULATION";"EC_REVN";"N";"N";"";"1:N";"ATTRIBUTE";"CALCULATION_ID";
"CALCULATION";"PRICE_OBJECT";"PR_CALC";"EC_SALE";"N";"N";"";"1:N";"ATTRIBUTE";"PR_CALC_ID";
"CALENDAR";"CALENDAR_SETUP";"CALENDAR";"EC_TRAN";"";"";"";"1:N";"COLUMN";"CALENDAR_ID";
"CALENDAR_COLLECTION";"CALENDAR_COLL_SETUP";"CALENDAR_COLLECTION";"EC_REVN";"Y";"";"";"1:N";"COLUMN";"CALENDAR_COLLECTION_ID";
"CALENDAR_COLLECTION";"CONT_DOCUMENT";"DOC_DATE_CALENDAR_COLL";"EC_REVN";"N";"N";"";"1:N";"COLUMN";"DOC_DATE_CALENDAR_COLL_ID";
"CALENDAR_COLLECTION";"CONT_DOCUMENT";"DOC_REC_CALENDAR_COLL";"EC_REVN";"N";"N";"";"1:N";"COLUMN";"DOC_REC_CALENDAR_COLL_ID";
"CALENDAR_COLLECTION";"CONT_DOCUMENT";"PAYMENT_CALENDAR_COLL";"EC_REVN";"N";"N";"";"1:N";"COLUMN";"PAYMENT_CALENDAR_COLL_ID";
"CALENDAR_COLLECTION";"CONT_DOCUMENT_VENDOR";"PAYMENT_CALENDAR_COLL";"EC_REVN";"N";"N";"";"1:N";"COLUMN";"PAYMENT_CALENDAR_COLL_ID";
"CALENDAR_COLLECTION";"CONTRACT_DOC";"DOC_DATE_CALENDAR_COLL";"EC_REVN";"N";"";"";"1:N";"ATTRIBUTE";"DOC_DATE_CALENDAR_COLL_ID";
"CALENDAR_COLLECTION";"CONTRACT_DOC";"DOC_REC_CALENDAR_COLL";"EC_REVN";"N";"";"";"1:N";"ATTRIBUTE";"DOC_REC_CALENDAR_COLL_ID";
"CALENDAR_COLLECTION";"CONTRACT_DOC";"PAYMENT_CALENDAR_COLL";"EC_REVN";"N";"";"";"1:N";"ATTRIBUTE";"PAYMENT_CALENDAR_COLL_ID";
"CALENDAR_COLLECTION";"CONTRACT_DOC_VENDORS";"PAYMENT_CALENDAR_COLL";"EC_REVN";"N";"";"";"1:N";"COLUMN";"PAYMENT_CALENDAR_COLL_ID";
"CANAL";"PORT";"CANAL";"EC_TRAN";"N";"N";"";"1:N";"ATTRIBUTE";"CANAL_ID";
"CARRIER";"CARGO_INFO";"CARRIER";"EC_TRAN";"N";"N";"";"1:1";"COLUMN";"CARRIER_ID";
"CARRIER";"CARGO_LOAD_INSTRUCTION";"CARRIER";"EC_TRAN";"N";"N";"";"1:1";"COLUMN";"CARRIER_ID";
"CARRIER";"CARGO_NOM_DETAIL";"CARRIER";"EC_TRAN";"N";"N";"";"1:1";"COLUMN";"CARRIER_ID";
"CARRIER";"CARGO_PLANNING_NAV_CNTR";"CARRIER";"EC_TRAN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"CARGO_PLANNING_NAVIGATOR";"CARRIER";"EC_TRAN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"CARRIER_CONTRACT";"CARRIER";"EC_TRAN";"Y";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"CONTRACT_CARRIER";"CARRIER";"EC_TRAN";"Y";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"CONT_TRANSACTION";"CARRIER";"EC_REVN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"FCST_CARGO_INFO";"CARRIER";"EC_TRAN";"N";"N";"";"1:1";"COLUMN";"CARRIER_ID";
"CARRIER";"FCST_CARGO_PLAN_NAV";"CARRIER";"EC_TRAN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"FCST_CARGO_PLAN_NAV_CNTR";"CARRIER";"EC_TRAN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"FCST_MAN_NOM_SCHED_ACT";"CARRIER";"EC_TRAN";"N";"N";"";"1:1";"COLUMN";"CARRIER_ID";
"CARRIER";"FCST_MAN_NOM_SCHED_COMP";"CARRIER";"EC_TRAN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"FCST_STOR_LIFT_NOM";"CARRIER";"EC_TRAN";"N";"N";"";"1:1";"COLUMN";"CARRIER_ID";
"CARRIER";"FCST_STOR_LIFT_NOM_LA";"CARRIER";"EC_TRAN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
